Rank,Feature,Feature_Type,Mean_Abs_SHAP,Mean_Signed_SHAP
1,Morgan_bit_696,Ligand,0.017141315324194384,0.017141315324194384
2,Protein_position_488,Protein,0.014524854605775414,0.014524854605775414
3,Morgan_bit_490,Ligand,0.014496963806892795,0.014496963806892795
4,Morgan_bit_702,Ligand,0.014158600033914429,0.014158600033914429
5,Morgan_bit_733,Ligand,0.012268315421686108,0.012268315421686108
6,Morgan_bit_458,Ligand,0.012112541781557096,-0.00499717743706655
7,Protein_position_456,Protein,0.011888381914828956,0.0011398982503318666
8,Protein_position_370,Protein,0.01147794935088416,-0.01147794935088416
9,Morgan_bit_207,Ligand,0.011094792992245422,0.011094792992245422
10,Morgan_bit_208,Ligand,0.010237768227562697,0.010237768227562697
11,Morgan_bit_518,Ligand,0.00985193221100181,0.00985193221100181
12,Morgan_bit_99,Ligand,0.00956809117860068,-0.00956809117860068
13,Morgan_bit_718,Ligand,0.009359922792729871,0.004993590991062199
14,Protein_position_198,Protein,0.009198910181223515,-0.004179188214241213
15,Protein_position_322,Protein,0.008848382710531965,0.008848382710531965
16,Morgan_bit_546,Ligand,0.008742493946827285,0.008742493946827285
17,Morgan_bit_138,Ligand,0.008543386500133818,0.008543386500133818
18,Morgan_bit_147,Ligand,0.008504147133549316,0.0051222134740697735
19,Morgan_bit_75,Ligand,0.008448536411957853,0.008448536411957853
20,Morgan_bit_104,Ligand,0.008428237299402983,-0.008428237299402983
21,Morgan_bit_331,Ligand,0.008045893782337665,0.008045893782337665
22,Morgan_bit_689,Ligand,0.007904165174072214,0.007904165174072214
23,Morgan_bit_536,Ligand,0.007899908829842895,0.007899908829842895
24,Morgan_bit_965,Ligand,0.007891564407550986,0.007891564407550986
25,Protein_position_450,Protein,0.007885161744250907,0.007885161744250907
26,Protein_position_308,Protein,0.00778683083418448,-0.006697546432509504
27,Morgan_bit_526,Ligand,0.007777564543925748,-0.007777564543925748
28,Morgan_bit_992,Ligand,0.007683741441451689,0.007683741441451689
29,Protein_position_190,Protein,0.007604074144828063,-0.0025346453436559304
30,Protein_position_369,Protein,0.00751120584355113,-0.00751120584355113
31,Protein_position_348,Protein,0.007391702124703638,0.0010650634058418248
32,Morgan_bit_728,Ligand,0.0072581078682337815,0.0006816536352225857
33,Morgan_bit_652,Ligand,0.0071844000971204485,0.004525702025672587
34,Protein_position_272,Protein,0.007166109304481938,-0.0022120409620091314
35,Protein_position_407,Protein,0.007090586222309325,-0.0023131902075589897
36,Morgan_bit_451,Ligand,0.007090235265474904,-0.0038075138254886954
37,Morgan_bit_984,Ligand,0.00686287677297501,-0.00686287677297501
38,Morgan_bit_338,Ligand,0.006834558339047145,-0.006834558339047145
39,Protein_position_57,Protein,0.006828777876787692,0.006828777876787692
40,Protein_position_229,Protein,0.006745883648165122,0.006745883648165122
41,Protein_position_206,Protein,0.006741160254308831,0.006741160254308831
42,Morgan_bit_983,Ligand,0.006711585842243959,0.006711585842243959
43,Morgan_bit_481,Ligand,0.006441789991828072,0.0022805383751956353
44,Morgan_bit_283,Ligand,0.006421267271116049,0.00351476112165047
45,Morgan_bit_508,Ligand,0.006393661252061107,0.006393661252061107
46,Protein_position_95,Protein,0.006382629628471333,-0.006382629628471333
47,Morgan_bit_538,Ligand,0.006334183292160249,0.006334183292160249
48,Protein_position_53,Protein,0.006305198325402944,0.0025212638822180245
49,Protein_position_203,Protein,0.006291711765656176,-0.0007530708531294511
50,Protein_position_234,Protein,0.006260341915594637,0.006260341915594637
51,Morgan_bit_628,Ligand,0.006239393741610766,-0.0041318276234793725
52,Morgan_bit_713,Ligand,0.006222254831477312,-0.006222254831477312
53,Morgan_bit_231,Ligand,0.006203616599509095,-0.006203616599509095
54,Protein_position_267,Protein,0.006147957523632896,0.002809323698018549
55,Protein_position_137,Protein,0.006133700386204424,0.006133700386204424
56,Protein_position_350,Protein,0.006092332289427936,0.006092332289427936
57,Morgan_bit_962,Ligand,0.006055722234239896,0.006055722234239896
58,Protein_position_235,Protein,0.006027483144804124,0.0026975111925921468
59,Morgan_bit_485,Ligand,0.005997011405439338,0.005997011405439338
60,Protein_position_174,Protein,0.005990719115707017,0.005990719115707017
61,Protein_position_222,Protein,0.005863656017325559,0.005863656017325559
