Model,MSE,RMSE,MAE,R2_Score,Pearson_Correlation,Train_Time_sec,Inference_Time_sec,Concordance_Index
Random Forest,0.8728954792022705,0.9342887557935557,0.724115788936615,0.6167404055595398,0.7951755523681641,326.0134060829878,73.22055358299986,0.7952109554143066
XGBoost,1.0086033344268799,1.0042924546300644,0.7858570218086243,0.5571556091308594,0.7564117312431335,623.1098548329901,2.553357500000857,0.7741334594281234
Ridge Regression,1.565567970275879,1.2512265863047662,0.991901695728302,0.31261080503463745,0.5591273307800293,10.090077750006458,0.5786652079841588,0.6832071468220002
Approximate RBF Kernel Ridge,1.7004338502883911,1.3040068444177704,1.040836215019226,0.253395676612854,0.505486011505127,0.5415518750087358,85.22632366602193,0.6612241575079192
Mean Baseline,2.2775604724884033,1.5091588625749124,1.207331657409668,-1.6689300537109375e-06,0.0,0.001258500007679686,0.0191155000065919,0.5
