Model,MSE,RMSE,MAE,R2_Score,Pearson_Correlation,Train_Time_sec,Inference_Time_sec
XGBoost,1.0140776634216309,1.0070142319856412,0.7775294184684753,0.5119041204452515,0.7194268703460693,57.86352429100225,0.07725349999964237
Random Forest,1.1427662372589111,1.0690024496037935,0.8363906145095825,0.4499637484550476,0.687389612197876,104.83634654100024,0.36563412500254344
Ridge Regression,1.512800693511963,1.229959630846461,0.9741477966308594,0.271858811378479,0.521678626537323,1.3445741250034189,0.05123187500430504
Approximate RBF SVM,1.7187087535858154,1.3109953293531658,1.0475314855575562,0.17275112867355347,0.41668036580085754,0.804702792003809,0.8395023750053952
Mean Baseline,2.077632427215576,1.4413994683000186,1.161303162574768,-5.9604644775390625e-06,,0.0002829589939210564,4.979199729859829e-05
