epoch,train_loss,val_loss,learning_rate
1,0.4141362194144776,0.3461689252743193,0.0002
2,0.3459380964060876,0.33857735855235904,0.0002
3,0.3240166334700987,0.31357636645074316,0.0002
4,0.3068268841630799,0.30885442074353076,0.0002
5,0.2919891903697187,0.3044420601888063,0.0002
6,0.27973195115662325,0.3036829090090255,0.0002
7,0.26831108336898846,0.28652298979350593,0.0002
8,0.2586131376015486,0.28929643739296396,0.0002
9,0.25050176958871795,0.2945745316712379,0.0002
10,0.2434265382776532,0.28802192863328296,0.0002
11,0.2364119169681887,0.2925669099336211,0.0001
12,0.2219176979721347,0.276000453460856,0.0001
13,0.21544517989337192,0.27884333195257804,0.0001
14,0.2101338423964595,0.27774261286313795,0.0001
15,0.20696789173951632,0.27873313369659275,0.0001
16,0.2036528852078985,0.28299469859201043,5e-05
17,0.19628877150704338,0.270778975711869,5e-05
18,0.1928162807842347,0.2770828988664506,5e-05
19,0.19026807802858986,0.2838271220205867,5e-05
20,0.1886803193736177,0.27493930067967587,5e-05
21,0.1868513379060518,0.2762539707480549,2.5e-05
22,0.18311652908659687,0.27926328876897866,2.5e-05
23,0.182396722050533,0.27342597241218075,2.5e-05
24,0.17971013887333467,0.2761640294243724,2.5e-05
25,0.17804634847469974,0.27655428532428045,1.25e-05
26,0.17623621431741282,0.28759365389773583,1.25e-05
27,0.17641557130160965,0.273304236361219,1.25e-05
28,0.1764158377164527,0.27331337352285184,1.25e-05
29,0.17563589660552986,0.27850452017750904,6.25e-06
30,0.17496256398500773,0.2824612818220027,6.25e-06
31,0.17477413833047015,0.270434069376836,6.25e-06
32,0.17427802297039122,0.2883732527216039,6.25e-06
33,0.17315722722481575,0.28090939031475237,6.25e-06
34,0.1740619529717708,0.2743748021726817,6.25e-06
35,0.17324586387393595,0.27441058828345877,3.125e-06
36,0.1732145666912638,0.2841775820383333,3.125e-06
37,0.1715974622813961,0.2829257242045995,3.125e-06
38,0.17298405857245883,0.28172253931378605,3.125e-06
39,0.17167193757079321,0.2761361448507987,1.5625e-06
40,0.17172365980183524,0.2728027507810099,1.5625e-06
41,0.17275926943632622,0.275979135172676,1.5625e-06
42,0.17192804396278244,0.28127062033614275,1.5625e-06
43,0.17198760572145005,0.2778635453178287,1e-06
44,0.17124732589451322,0.28041413370453894,1e-06
45,0.1709275402549953,0.2781616865958756,1e-06
46,0.17272972293889724,0.26970478582671026,1e-06
47,0.17087051551836202,0.27968534371751524,1e-06
48,0.17052778694448592,0.2882197571502981,1e-06
49,0.17059727023359592,0.28620102909844813,1e-06
50,0.17139716521974355,0.2704795216660766,1e-06
51,0.1715867117462279,0.28328325606674565,1e-06
52,0.17208148812883012,0.28539682363440233,1e-06
53,0.1711505545062732,0.2733288949081471,1e-06
54,0.17060562246239386,0.27947285916268516,1e-06
55,0.17061089280002478,0.2783659153958681,1e-06
56,0.17183606692821668,0.27814259524733664,1e-06
57,0.17048953525344782,0.2731039228614397,1e-06
58,0.17061387935582595,0.27802345371184684,1e-06
59,0.17117671867023038,0.27664135643764926,1e-06
60,0.17094829158629546,0.2771407942001377,1e-06
61,0.17183199284448905,0.2702658948235279,1e-06
