Model,MSE,RMSE,MAE,R2_Score,Pearson_Correlation,Train_Time_sec,Inference_Time_sec,Concordance_Index
XGBoost,0.9367729088605042,0.967870295473781,0.7413356737623176,0.5491124545229324,0.743168228769614,277.5673537919647,2.8652357080136426,0.7729001085912607
Random Forest,0.9720261970401558,0.9859138892622193,0.7489469276807208,0.5321443415181981,0.7363622106355794,173.859057417023,46.60145158303203,0.7712939440525576
Ridge Regression,1.5102172359284156,1.2289089616112399,0.972731879660047,0.27310222551885976,0.52291141518537,2.3493121250066906,0.18454604200087488,0.677028403268827
Approximate RBF Kernel Ridge,1.6130528565112128,1.2700601783030647,1.0123821611474466,0.22360538363367977,0.47598898153986635,0.7085020000231452,26.84331512497738,0.6599141612483819
Mean Baseline,2.0776227059423933,1.441396096131245,1.1613643564425595,-1.3807500967022435e-06,,0.001562124991323799,0.0066474589984864,0.5
